Sub-Region,Male Voters,Female Voters,Total Voters,Voter Gender Ratio,Total Population,Population Growth Rate (%),Population Density,Population Gender Ratio,Eligible Voter Ratio
GEDUNG AJI BARU,9696,8972,18668,108.07,24682,0.001418,259,108.37,75.63406531
DENTE TELADAS,20705,18795,39500,110.16,56539,0.001433,82,109.5,69.86328021
MENGGALA TIMUR,5574,5394,10968,103.34,15691,0.001402,81,103.7,69.89994264
WAY SERDANG,18039,17103,35142,105.47,46571,0.9904141,153,106.24,75.45897662
SIMPANG PEMATANG,11757,11421,23178,102.94,29653,0.9904289,178,104.76,78.16409807
PANCA JAYA,7381,7045,14426,104.77,19056,0.9904256,198,107.04,75.7031906
TANJUNG RAYA,17421,16490,33911,105.65,44414,0.9904245,124,106.76,76.35205116
MESUJI,8831,8213,17044,107.52,24057,0.9904258,90,106.44,70.84840171
MESUJI TIMUR,14008,12967,26975,108.03,40802,0.9904225,55,107.79,66.1119553
RAWAJITU UTARA,9784,9107,18891,107.43,28132,0.9904174,103,106.52,67.15128679
